Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%),Date,Stage of Ground Water Extraction
State_12,District_20,50.15442198,87.5831549,25.71175103,27.57976947,114.0918973,35.15491588,240.6335094,144.5285698,79.44127535,123.2647177,38.03271851,93.93350157,41.57927989,29-08-2010,Safe
State_20,District_12,73.84074249,41.45112161,44.16887625,20.09627456,378.4155251,35.61522987,196.2327235,127.1548382,89.27932814,44.62408865,47.07226836,36.85176578,59.12379593,30-01-2010,Safe
State_3,District_47,120.2809125,32.51054435,40.92356167,19.41535018,127.3421918,44.02016913,116.5578754,93.42938677,82.5172203,30.34862178,25.01509416,5.396976143,90.11931134,23-05-2010,Critical
State_5,District_1,191.6455452,88.24716987,22.39999749,18.96914862,185.7701601,39.63477074,57.83566721,43.35540556,64.22602272,145.1243418,19.66340003,76.29693887,120.9568165,22-11-2010,Overexploited
State_19,District_90,65.32904295,23.72004692,19.28159316,14.2792379,301.7169438,31.70293308,79.86222099,32.9692625,36.62404467,105.6966085,32.19467668,70.35081441,61.76131411,26-11-2011,Safe
State_7,District_14,178.1314662,69.57595522,28.32938602,24.64107759,150.9617783,36.1434708,205.5757448,27.08654569,89.93882739,249.3690167,41.84743794,59.79109923,66.32971596,16-01-2010,Safe
State_9,District_64,129.0536144,64.9594278,41.25395362,11.3199611,116.6247665,20.95955126,283.6050542,106.6483581,85.65432605,199.9304199,10.15070778,48.98937444,53.29961507,21-04-2010,Safe
State_7,District_38,173.8881149,47.6736358,48.40671139,28.472374,199.3439467,33.7222476,101.633601,124.9797132,52.559139,197.4806004,35.25509746,3.216527032,53.09921281,14-12-2011,Safe
State_18,District_37,94.75616465,45.21516169,40.54316275,27.34963013,329.7914725,29.56909019,233.7565373,86.12891359,13.51708174,240.153409,33.86064003,62.45972515,143.3523,17-04-2010,Overexploited
State_4,District_11,175.9920747,81.74861809,44.2082794,13.43700814,224.1036037,15.33377869,266.6127658,27.11284273,67.46893547,225.2993675,22.72608743,41.68346152,102.6094334,14-01-2011,Overexploited
State_14,District_100,165.923417,26.91396886,34.12257225,23.23659425,295.8918766,19.70177106,180.2205446,89.6111747,14.55371683,100.0012455,28.05692014,56.02094027,40.26716166,11-06-2010,Safe
State_18,District_77,84.50805245,38.94274474,43.41631323,19.33057986,273.8857292,21.66773803,217.316449,141.647404,93.36519657,66.51718875,19.87852897,42.9321342,113.8923152,10-10-2010,Overexploited
State_9,District_3,69.70026896,78.59589855,41.37683432,13.44123255,106.6655446,46.97238268,253.7538292,97.68971482,96.5468131,194.0962983,41.59542952,96.60561328,113.8627486,26-09-2010,Overexploited
State_2,District_33,180.2081484,63.8656467,25.07942168,29.7130412,396.5619961,19.21546558,115.1687894,125.2255735,27.05411313,113.2202566,35.38139733,60.41089012,106.6411255,29-04-2011,Overexploited
State_20,District_6,194.485498,30.23905668,32.07961208,5.630933646,112.4284266,21.56975611,124.2239186,124.0198443,70.87504402,134.0979834,31.30846488,74.92363306,37.51365786,29-10-2011,Safe
State_15,District_50,54.69534706,90.57084914,42.19012488,11.31615077,390.3408213,24.7741652,50.15687916,141.176783,18.30421041,168.6875009,25.70104794,93.63469475,73.03889285,14-03-2010,Critical
State_7,District_10,159.69051,51.47582773,11.84226937,18.00185153,264.9592535,36.54970955,290.7735327,120.1297395,75.65652357,229.7319889,21.65537544,59.15993229,33.87832296,16-07-2010,Safe
State_12,District_5,186.4286766,86.22947003,42.32317129,18.04882509,388.9477081,14.7295357,279.3862236,117.2010668,41.25588995,122.1993058,42.90945944,1.206251782,126.1606655,31-08-2010,Overexploited
State_8,District_23,178.6040138,83.01704124,17.11552496,19.72332687,134.4260798,48.1578085,241.1420659,50.43334645,71.29451006,202.3297158,28.05630682,3.429167831,105.1723786,21-08-2011,Overexploited
State_15,District_10,194.6780708,69.95403572,30.58734468,23.7919043,247.1225558,44.6228488,69.76900524,27.79027019,43.55888583,89.03475408,30.05789679,70.23384341,85.93651178,16-09-2010,Critical
State_3,District_44,164.0141118,59.5584905,42.33101758,20.58694576,150.8512276,33.08864292,161.8757224,87.28793046,23.10107588,183.553794,30.83314922,27.90851362,64.59201195,29-05-2010,Safe
State_14,District_2,116.3448144,98.36406723,20.15284313,20.00703651,115.2924631,36.9615147,75.47293849,36.17644703,46.54989825,30.34747264,27.93467742,57.93797273,43.95243168,25-01-2011,Safe
State_17,District_13,96.79279857,31.59720579,19.83229757,6.337861573,285.2587345,10.66641885,53.98006682,145.0854639,20.1406174,221.731587,20.24353705,20.22771811,33.83818655,20-02-2011,Safe
State_4,District_40,98.11141107,78.0124582,26.11057594,14.41325719,162.3350263,23.55779101,204.0457413,57.69021914,61.91949475,36.68350759,14.81361761,27.02488751,146.001279,02-03-2011,Overexploited
State_18,District_2,158.6634009,35.29525612,45.7857119,10.80139349,276.3091055,41.82640923,290.2073543,130.8827464,13.68563789,186.805826,13.94149069,50.46410559,45.95432345,03-12-2011,Safe
State_8,District_84,161.8755518,47.06104843,10.01771126,11.63425279,133.7093446,13.09931895,275.7170059,70.39120128,57.45877116,40.17680164,40.29850093,97.55694634,27.78370147,05-08-2010,Safe
State_4,District_65,80.05387153,44.69589947,46.05532387,18.85843686,199.5959414,21.29255337,224.1887037,62.01525248,89.77317824,88.57405387,18.94111289,61.62704892,145.0166804,27-03-2010,Overexploited
State_2,District_63,180.218422,95.76287902,16.15228099,9.987632873,334.4897674,33.41187313,74.16014604,141.5706144,85.40859431,139.3845288,12.2269126,93.61481045,91.36372638,04-08-2010,Critical
State_6,District_73,157.238606,97.38849422,49.60345504,12.34872753,231.1154566,20.25652111,118.5410094,67.23193437,89.45035297,122.3865108,41.90069627,95.93798544,123.5653755,27-02-2011,Overexploited
State_10,District_17,134.412543,34.64123554,48.19387972,10.92711771,288.3236245,47.35911897,130.0141817,70.73742813,92.98439219,72.20394521,16.16246611,20.81099964,25.68956014,16-11-2010,Safe
State_4,District_9,120.729869,21.76281282,29.78700758,28.71257358,294.2373822,15.24234523,240.7875144,33.79193135,19.40750991,103.4392806,35.00584367,31.11936025,93.70296147,28-04-2010,Critical
State_18,District_75,131.4849209,77.60064317,30.50880991,28.6166433,353.1265132,41.89577432,250.5622948,107.1580665,21.58724826,190.0954014,23.54573086,76.99922812,71.76729534,19-02-2011,Critical
State_12,District_15,73.88686074,53.43919471,29.26197361,20.24853896,197.4768383,30.31794768,146.2765307,57.54912388,60.13061257,177.2365604,15.05921027,86.67640023,120.3553765,22-08-2011,Overexploited
State_2,District_24,80.55518739,27.10721961,35.41774583,28.11306172,306.1886688,40.01323103,154.4709992,96.12854182,90.45754016,45.79920843,26.57923917,51.92267442,24.99533393,09-02-2010,Safe
State_10,District_38,63.67467356,74.70032845,13.62886809,24.64531614,388.4847421,22.42861313,61.12725982,96.87572153,97.69145109,194.4094816,10.59235445,99.32260673,72.21977391,10-06-2010,Critical
State_4,District_35,73.04870572,63.60844226,11.30471793,19.74869707,319.0730003,30.57958409,122.2841796,113.4959604,14.16357256,41.67009386,43.6417993,1.157219876,123.8795445,04-12-2011,Overexploited
State_14,District_94,118.0540452,98.44134576,12.30811714,5.160880287,246.961143,44.27341399,162.8212943,116.8813932,42.01966758,149.4438056,30.53991845,29.95926556,87.9506444,21-06-2011,Critical
State_16,District_95,129.5531591,38.19275967,27.77461397,24.31290715,289.2152333,28.67512396,79.2457616,86.87881647,29.16048292,87.21380457,15.56640044,62.31617537,91.50503633,24-02-2011,Critical
State_15,District_49,52.67928387,52.31823011,21.02191757,22.56220854,321.9048693,24.38879448,163.3168652,63.02895319,78.0369264,159.2918281,19.47921274,46.92899109,32.63140866,26-10-2011,Safe
State_8,District_69,169.5196742,63.40366427,34.88158249,20.38134133,283.6827297,31.44621545,263.2939531,128.8686163,67.61744817,87.49224711,27.91900769,11.66029664,37.2029723,05-04-2010,Safe
State_14,District_62,94.125196,83.33599908,49.69769157,24.01060779,105.002744,38.69451012,195.3302549,60.28253442,20.78992283,246.6907533,17.55477531,36.77870855,108.0099487,18-03-2011,Overexploited
State_8,District_60,186.7754052,63.90709254,25.45292692,17.82305412,158.4320493,27.74253382,69.73246376,85.97618228,53.51698606,98.14020042,20.74396646,2.54471433,107.7560609,12-07-2011,Overexploited
State_16,District_50,195.1266895,69.03201287,32.95365016,22.60208178,343.1404652,47.55507901,97.91782971,72.16283582,71.68964701,83.23133985,31.37542257,64.27460461,147.2834413,12-10-2011,Overexploited
State_13,District_78,77.8188312,38.09176413,26.62415584,28.37930217,181.7951942,21.79783296,168.6360875,131.1601902,80.11048545,91.262364,43.30436052,89.2742543,112.5538884,11-04-2011,Overexploited
State_18,District_75,119.3145936,87.75349825,43.89086671,14.3951254,319.4686359,29.01854425,140.3717875,76.14940905,11.80474388,227.2240286,26.07358743,88.48741238,84.12165447,15-10-2010,Critical
State_15,District_9,50.18477527,54.29044376,46.08945614,22.70304587,211.6360646,40.27710637,139.6817549,70.19289455,90.14226166,169.9681423,38.67901094,69.95444738,131.4526171,07-11-2011,Overexploited
State_13,District_34,139.7490898,31.2767702,45.09422449,16.89219545,256.5652984,37.56484362,182.316862,109.6770801,61.23532447,190.7505014,45.06736854,46.57701955,33.58148816,16-02-2011,Safe
State_9,District_76,141.0959672,73.13503316,48.97488955,21.8599913,120.3919899,44.5456421,196.0989804,98.31734428,83.07182035,231.9623122,18.65203761,51.20316187,78.40845672,04-02-2011,Critical
State_15,District_99,87.13099334,37.28723625,11.10076741,24.07233339,154.3676683,49.87236723,249.2153926,33.94208835,82.7144227,230.6119467,42.28767882,13.6918824,57.32418442,12-06-2011,Safe
State_13,District_35,133.7619009,27.80500082,43.59264649,6.136312511,387.1590891,27.07433315,135.2416409,86.06194482,27.08673942,192.5680862,40.29608793,34.10170931,33.6029149,18-01-2010,Safe
State_1,District_1,83.83102137,88.95895267,40.07088692,21.1650111,367.041416,14.44603519,251.3665708,115.6121905,19.91549082,73.52137435,24.27749192,18.77280755,119.255271,16-05-2010,Overexploited
State_7,District_40,74.12382036,56.81298116,19.14777638,10.66852961,295.6825333,11.21663523,134.6528073,148.9697194,74.91585421,215.5421305,49.58079838,82.12002033,86.40296396,09-04-2011,Critical
State_9,District_64,147.72792,79.94269702,48.25280374,21.75081345,237.8933792,39.07507625,63.85824724,101.7890884,24.07842269,74.83072752,20.50289486,91.47539013,92.37993359,05-09-2010,Critical
State_1,District_22,98.88881959,43.24700478,15.92711713,16.70825465,302.7283879,44.96054685,188.5469128,68.13809864,86.49437423,193.4377391,20.19213064,53.69232614,73.46317443,11-12-2011,Critical
State_12,District_60,138.5395908,82.95761079,37.18199709,24.33881855,285.5830867,18.82850344,196.9755812,49.39970797,75.35705355,180.8326746,40.89036659,72.77640405,79.84384011,01-01-2010,Critical
State_8,District_64,114.9870123,28.95487416,18.99560867,8.08502038,270.5656767,16.33792149,283.6350614,133.4679304,85.76428279,196.955547,27.38629272,12.14647709,35.08226033,03-12-2011,Safe
State_11,District_93,197.6527111,48.4778699,27.25522595,20.65805879,117.7531216,12.48820366,231.5153315,125.8934776,36.91114116,147.1908498,23.23179979,60.85346433,107.4793172,16-01-2011,Overexploited
State_19,District_72,72.4370964,98.24494544,38.76639588,11.96176822,289.8407832,42.90811687,279.4431631,50.4099667,38.49382544,170.5197601,17.14651221,70.27910214,76.21815675,24-05-2011,Critical
State_17,District_11,119.6897895,83.51917731,32.53298568,26.32454988,330.6760134,22.4552776,277.0868026,46.08217172,70.40994007,239.7304177,40.61329724,45.27681295,126.1797845,05-04-2011,Overexploited
State_8,District_14,152.068494,59.78047443,27.10007325,28.20958764,398.2244964,26.06787571,201.1435276,112.967781,12.83013596,52.23949072,41.45287225,24.32730845,45.51733602,20-05-2011,Safe
State_3,District_60,109.3317626,47.18219772,23.05353724,29.90995734,103.3235658,30.11000766,181.9405163,60.94376805,75.38470717,97.94640045,32.66256013,87.73745205,46.65716214,21-04-2011,Safe
State_3,District_30,196.2049778,89.770856,43.58638623,24.90018506,319.052036,43.57812937,189.3602418,59.83184379,85.22047638,164.4985429,48.29254453,74.290872,103.9487443,11-07-2011,Overexploited
State_1,District_35,158.2831442,63.58782073,15.75257401,23.84335176,271.5367948,36.03332886,294.5827019,39.79773212,47.36472279,242.0919086,22.72653082,89.98572818,129.980445,01-02-2010,Overexploited
State_5,District_85,148.5475786,80.67400143,27.20411506,10.38751897,230.2156528,34.60258519,243.2919229,54.31681756,78.83909471,51.02637849,18.78476182,81.84026475,81.38571902,28-04-2010,Critical
State_10,District_37,163.5588901,80.32861443,46.15030287,13.40017647,138.2710524,17.026884,76.5664762,75.57598249,25.71498253,34.96082874,37.09867076,99.03744296,114.5040029,03-07-2010,Overexploited
State_7,District_5,192.8972957,21.43565429,43.83398202,16.64206354,222.7255446,30.52759567,244.6071017,115.2689838,39.00343544,42.26491166,40.33634563,19.21727332,149.9128898,10-07-2010,Overexploited
State_9,District_83,186.1727979,30.10030262,26.0376705,24.33452619,206.3131549,38.61524069,92.63451222,63.72005227,97.68744668,41.52925102,18.99623882,8.67477678,148.7345332,29-12-2011,Overexploited
State_7,District_78,158.6427962,72.77034931,40.52433454,27.87414663,190.8489667,48.93043532,161.8376373,62.71856413,98.76953562,229.7194887,13.06443057,33.70027913,116.7637896,15-03-2010,Overexploited
State_9,District_26,162.3742459,32.9295849,42.92643323,9.728477501,319.263887,18.05625237,102.614918,57.03872283,56.13445477,188.6767397,42.42065946,12.9004175,116.1462437,15-09-2011,Overexploited
State_8,District_62,71.88831111,40.43946757,45.55549696,28.05918712,310.2176564,10.38173412,222.3957664,82.17687678,94.08428123,178.9634006,49.06007895,52.31301129,52.19045534,13-04-2010,Safe
State_12,District_4,65.41886067,95.73103634,31.78023076,22.39061631,276.7060273,13.01205734,269.327434,43.48277073,57.04576103,144.9660205,35.78689144,63.30289054,128.3601521,09-08-2011,Overexploited
State_2,District_89,135.6356753,64.81458067,18.17843544,20.26926827,381.599444,25.03409861,122.5904713,83.13199542,36.24293153,202.0295757,21.11467601,57.82886152,72.66327652,24-02-2011,Critical
State_1,District_42,52.75514554,80.05836056,20.21236306,9.996031782,204.9563153,42.82178591,70.5026853,111.5428223,34.02093593,64.24255841,49.86690434,25.92401354,145.0592083,18-04-2011,Overexploited
State_16,District_89,122.3534572,64.6384591,21.82778696,6.38812582,173.1405813,10.28568327,124.6232745,23.87276552,93.65551348,116.2270618,45.73066545,90.8824031,30.58559953,24-04-2010,Safe
State_5,District_18,81.55243699,64.20108918,33.75209923,19.21162246,296.7709939,28.26922372,218.0904645,21.27131944,25.52017501,137.8009352,30.53522585,2.117236374,76.65924795,14-01-2011,Critical
State_3,District_40,101.9024851,27.53215281,11.31238497,21.28789208,159.6442183,23.16922461,132.1900319,29.76597832,62.16692124,54.29008949,43.01285139,34.80133538,92.2592634,09-11-2010,Critical
State_12,District_72,166.3707104,47.49305541,35.44169875,10.26953623,194.5031522,12.0992684,119.5280419,89.63580802,59.99725613,122.2930161,42.63282093,71.89924754,72.67030692,26-11-2010,Critical
State_8,District_39,191.1856256,42.59447189,24.57416954,18.91140515,167.380732,28.00945147,96.10879765,131.0791608,76.56595162,99.63039144,47.39195879,76.69289263,47.37529477,05-12-2010,Safe
State_3,District_14,60.86244082,51.25826925,21.8096721,26.41233507,120.7460703,20.18994829,174.3791067,20.63498058,54.93186168,37.82807207,43.63695375,41.61185444,97.08850354,26-08-2010,Critical
State_1,District_32,130.1363309,83.86753506,45.17986283,25.87664864,348.2496225,24.07539337,118.987207,141.7659696,34.50570946,60.0817886,35.74716944,1.690981326,118.2693289,22-06-2010,Overexploited
State_3,District_51,182.3800229,49.75461343,28.40009582,28.18387951,176.3621629,38.22461219,232.7525873,33.8162065,25.24568497,198.0881011,34.37214876,61.80436791,103.8290175,20-03-2010,Overexploited
State_5,District_38,62.37628017,56.13574554,13.80212182,14.14714524,241.908251,30.86203936,69.1556005,129.4578586,65.87369232,33.96834009,28.69429153,6.309468118,50.47835035,09-04-2011,Safe
State_15,District_97,173.677107,51.79051124,43.06987072,12.95123931,112.994582,14.98589716,216.0082583,82.77111945,74.70916812,235.5357258,35.0594256,10.78557762,115.1090328,28-08-2011,Overexploited
State_14,District_23,103.6702026,27.47263776,11.9056503,23.73565015,309.8018399,48.45658162,109.3900036,105.7164603,61.25691508,49.01341914,41.80866346,65.02507196,53.39671479,16-05-2011,Safe
State_3,District_63,98.31420533,55.28577266,39.06996897,15.77781013,199.1683007,35.43643063,172.3198153,86.38878798,76.45161494,205.8323807,48.76150505,31.24883261,42.77630718,16-07-2011,Safe
State_1,District_15,196.6199579,35.64874184,40.95624887,7.188716601,323.4210183,40.63473703,121.5224805,82.01626927,22.73690822,227.695639,28.69149433,34.80301527,109.786842,12-10-2010,Overexploited
State_5,District_97,80.12886348,34.93786366,24.10410424,12.07002827,223.7209181,13.168526,230.692169,128.5369257,89.42231754,237.0498287,32.94612812,48.6807077,129.562342,11-08-2010,Overexploited
State_14,District_25,153.9790911,27.52288835,42.99151425,15.46455714,158.7266819,11.88233518,286.3267601,118.2652293,62.41559576,220.8449452,27.7922198,97.85783949,82.6001282,16-08-2011,Critical
State_7,District_17,173.2161092,48.53367793,30.62637623,12.31291064,253.9525247,10.77792201,279.2691949,82.84229075,21.41595342,93.26100867,36.73954484,96.54422207,89.08093311,23-09-2010,Critical
State_9,District_97,56.17752429,80.59855078,28.53174613,13.30513927,139.1513679,17.55176111,195.8565538,34.51267082,51.57326838,103.2791689,35.19682016,41.62609994,59.35718416,29-10-2011,Safe
State_15,District_66,150.5578188,42.11533525,11.81613126,12.34439765,232.161748,26.57633591,165.6525758,35.00238471,86.03125641,123.8400537,10.71335161,26.54992172,84.30034196,08-01-2011,Critical
State_15,District_78,192.7324962,44.98792815,21.60116775,6.03747918,195.1916432,47.43304534,254.5751274,124.2001299,90.78059741,60.64527167,31.64646236,30.25921527,37.15778974,21-08-2010,Safe
State_10,District_53,68.63299501,71.41397261,47.24039884,20.92736752,373.5878753,28.28238637,220.8315907,88.82078078,33.81845545,34.89994011,13.53947583,26.87812982,144.2580079,24-08-2010,Overexploited
State_13,District_51,184.4331954,35.66726501,25.67295853,19.93231051,118.2786165,21.61020421,95.89102855,82.60658823,74.01392422,221.2067551,11.05534472,53.22458071,124.046885,02-11-2011,Overexploited
State_19,District_39,139.2164956,91.75663443,31.86802082,21.33458746,308.2052242,32.47741014,255.2298034,108.4736894,18.99867227,151.9083176,41.64788648,60.68598078,106.8364979,10-11-2010,Overexploited
State_7,District_51,142.4906873,61.61524186,31.28086716,9.807747401,154.8253498,14.47738313,157.2210973,131.6494058,13.01912843,163.9190473,20.34599449,48.87793882,89.96526832,15-01-2011,Critical
State_17,District_70,141.9416262,55.80823523,33.61724359,12.39136354,195.7135223,34.38023564,97.24641499,101.7535088,60.43590584,233.9374645,23.62620309,40.79943622,122.9819877,06-09-2011,Overexploited
State_20,District_6,94.82538295,64.62561535,12.45323823,20.49039817,224.6542189,32.73727817,120.4493376,119.1702273,72.53448214,176.3264392,12.5633835,21.12850376,84.31844115,17-07-2011,Critical
State_4,District_67,190.2802723,33.28274507,24.48705019,19.99068921,372.4045268,41.67972134,116.8817576,119.4851681,81.62080581,181.987771,17.18001042,48.25055914,58.99660806,24-02-2011,Safe
State_5,District_7,192.1025694,69.07785109,38.92513096,17.65825773,172.7734798,49.46750446,179.8017437,66.31398834,40.61946146,203.1331027,40.62419273,34.11027138,40.84865057,21-02-2010,Safe
State_7,District_51,143.795699,49.04805893,18.02241004,13.76033125,127.3926408,20.03493887,108.5925227,55.63081543,10.58728694,55.59665897,29.74123321,54.15954628,104.1861265,22-12-2011,Overexploited
State_13,District_72,167.5134089,91.77490728,18.1431351,27.82327512,195.6068812,30.38625803,80.89162185,124.1513287,53.15673134,109.2356737,45.2267385,67.51894155,140.8253469,05-10-2011,Overexploited
State_15,District_42,141.8386979,33.50833653,10.40362427,13.49425606,131.4027912,46.35461625,80.92271265,69.03324293,11.42681908,243.0057441,25.88968526,63.33121744,39.97041196,24-05-2011,Safe
State_11,District_64,122.6597671,60.56408831,27.49927706,16.39047891,138.5789458,41.40759538,195.8190493,137.4336808,18.27860596,233.0446172,20.74802943,46.24902104,43.40234586,24-07-2010,Safe
State_4,District_15,149.1230177,67.84901035,45.30937523,21.95284577,272.1551794,29.49625212,233.6898222,29.05979057,39.40201203,224.4965652,23.90399258,55.60524243,76.36878434,01-01-2024,Critical
State_13,District_29,132.9502179,22.67068814,12.07603774,18.57553577,118.2705799,47.81486598,130.3832522,27.56827657,49.34548446,129.4594723,38.51087174,28.4856131,124.8969152,14-09-2010,Overexploited
State_7,District_33,139.6213794,49.09544998,17.64474838,13.67214941,109.2792644,12.28946774,58.66267745,140.5105408,35.15224971,218.5824498,32.20022689,2.424025902,58.20995477,04-07-2010,Safe
State_19,District_94,167.574883,78.61081878,22.40338153,15.89111976,314.3242304,47.23994479,81.80622173,104.2991388,62.36787399,40.64709403,46.1676483,62.50194542,53.00868021,25-05-2010,Safe
State_2,District_27,122.1355747,85.6302006,39.26898946,24.86202045,208.4941285,12.0202957,278.6736401,69.34791634,14.98148103,62.67383334,34.08675078,25.25685591,100.5956179,21-11-2011,Overexploited
State_10,District_36,56.11311591,45.05295959,35.62542371,11.95322889,137.6126048,31.89218976,173.3859149,118.1578539,23.01217392,121.0728937,29.72072834,66.89537101,89.62992164,14-01-2010,Critical
State_13,District_29,74.59992215,83.88746179,26.63775618,8.556380994,176.0838313,45.61763792,163.3932024,107.4024853,72.57325607,136.3462547,41.43010896,74.70084996,27.82864738,03-09-2010,Safe
State_6,District_38,115.7910825,97.42047017,40.36275757,12.82908005,292.6259522,20.50883774,59.51229458,89.05613609,22.79267682,87.97157377,47.90135403,91.59277461,30.59369705,06-07-2010,Safe
State_12,District_57,158.723984,88.54991489,34.38524047,26.23835539,182.6609701,28.88993996,232.1592556,32.85353455,67.57976814,108.4248676,24.23383645,95.81227955,103.5916874,03-12-2010,Overexploited
